word,letterColor,corrAns,congruent,loop1.thisRepN,loop1.thisTrialN,loop1.thisN,loop1.thisIndex,Willkommen.started,Willkommen.stopped,willkommen_weiter.keys,willkommen_weiter.rt,willkommen_weiter.started,willkommen_weiter.stopped,stimuli.started,stimuli.stopped,resp.keys,resp.corr,resp.rt,resp.started,resp.stopped,OutroText.started,OutroText.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,14.438137249999272,None,space,1.8021305380025296,14.438137249999272,None,,,,,,,,,,jk,001,2022-04-25_19h30.48.537,stroopselfmade,2022.1.3,None,
rot,green,down,0,0,0,0,1,,,,,,,16.784057231001498,None,right,0,2.111167684997781,16.784057231001498,None,,,jk,001,2022-04-25_19h30.48.537,stroopselfmade,2022.1.3,None,
blau,red,left,0,0,1,1,5,,,,,,,19.418182945999433,None,left,1,1.172067744002561,19.418182945999433,None,,,jk,001,2022-04-25_19h30.48.537,stroopselfmade,2022.1.3,None,
grün,blue,right,0,0,2,2,3,,,,,,,21.10690992700256,None,right,1,0.5783883420008351,21.10690992700256,None,,,jk,001,2022-04-25_19h30.48.537,stroopselfmade,2022.1.3,None,
rot,red,left,1,0,3,3,0,,,,,,,22.204464287002338,None,left,1,0.6944060869936948,22.204464287002338,None,,,jk,001,2022-04-25_19h30.48.537,stroopselfmade,2022.1.3,None,
grün,green,down,1,0,4,4,2,,,,,,,23.40552263399877,None,right,0,0.7407259399988106,23.40552263399877,None,,,jk,001,2022-04-25_19h30.48.537,stroopselfmade,2022.1.3,None,
blau,blue,right,1,0,5,5,4,,,,,,,24.650874807004584,None,right,1,0.9501321560019278,24.650874807004584,None,,,jk,001,2022-04-25_19h30.48.537,stroopselfmade,2022.1.3,None,
,,,,,,,,,,,,,,,,,,,,,26.105380328001047,None,,,,,,,
